StaffID,DepartmentID,BranchID,FullName,Gender,BirthDate,StartDate,EndDate,Salary,Address,PhoneNumber,UserID
d8c0d915-c54e-43c0-816d-5c742f98ab71,DEPT_KIT,5898e917-b2dc-403b-96d5-491702433b1e,Bùi Hồng Minh,Nam,1977-05-22,2001-08-09,,18491014,"579 Trần Hưng Đạo, Q2, TP.HCM",0921557594,93c58274-cd53-4a1d-8b71-436eb1a2ba20
73b2a809-bc61-4f2e-8b73-4e81c2427ce2,DEPT_LOG,b24b68cd-76d8-4767-99ac-5971da683670,Phạm Thị Hoàng,Nữ,1985-05-31,2009-03-08,2012-11-04,11521821,"448 Lê Lợi, Q3, Hà Nội",0572986274,101b6715-6acc-4aa6-9d11-23db4da190e1
aac8aeff-005b-4d4a-acab-4dccf0fd3357,DEPT_ADM,237b8548-1690-42fd-8435-e4120c83b98c,Bùi Thanh Hoàng,Nữ,1992-10-21,2011-06-12,,5694406,"610 Nguyễn Huệ, Q3, TP.HCM",0932344375,08eac74f-f1b3-40c2-b996-a8f82eb4e7f5
b3c59e4f-162f-471e-9099-c9781a980f2c,DEPT_LOG,c0894cf6-1d4e-43d4-aa1c-5d87f56558f7,Phạm Tuấn Hương,Nam,1990-11-03,2020-06-02,,6613991,"69 Trần Hưng Đạo, Q1, Hà Nội",0985883519,5259b790-eb43-4baa-80ba-e22077560a67
0db16156-5c83-4771-8d67-0a7a66bed960,DEPT_PUR,c6a08869-4795-464d-802f-290f7c29be89,Hoàng Hữu Hoa,Nam,1993-05-23,2020-04-30,,6311263,"497 Lê Lợi, Q3, Hà Nội",0975817014,56169d14-0f52-46ca-8567-554b596ae9b7
f66b05df-7517-4775-aad5-8bd478494d23,DEPT_HR,942d721e-3874-4acc-b8ea-9963836b14c4,Phạm Thị Phương,Nữ,1986-12-11,2007-05-07,,14709600,"867 Lê Lợi, Q3, TP.HCM",0322542245,d3f79d1f-e743-427b-9a7d-65abd6476ad7
90de3f9a-3073-40e9-a129-ce62adbba87c,DEPT_ADM,ce3a6cee-5250-4833-8e54-28843e7d28b8,Đặng Đức Nam,Nam,2000-08-31,2024-08-31,2025-07-07,15850301,"110 Lê Lợi, Q2, Đà Nẵng",0702478431,b638c839-43a5-4434-ac3d-d252b185adfc
283db5f2-364a-4ec9-9695-671a87e14f20,DEPT_MKT,9db57fbd-d026-4517-8013-eeeb884e5a35,Phạm Thị Hoa,Nữ,1985-10-18,2013-04-04,,17970407,"712 Nguyễn Huệ, Q2, TP.HCM",0541419052,f8e1e9a0-9e59-4efa-9907-db0fb6b4d332
7782a97d-e436-4681-a5d4-92d7ff8bc123,DEPT_KIT,7cd43617-5e86-4be6-9164-9e2126d4de07,Vũ Thị Đức,Nữ,1992-08-17,2011-02-17,,6226058,"442 Nguyễn Huệ, Q1, TP.HCM",0349919296,19d05675-aa62-4e6b-9496-4af7a5a83397
08faade0-785c-408b-93b9-822510e58b0e,DEPT_LOG,044dabfa-6129-4a83-9913-177b71b107e4,Phan Thị Đức,Nữ,1981-11-21,2004-05-22,,17622193,"150 Nguyễn Huệ, Q1, TP.HCM",0811978589,f5126b11-475b-4450-aaf2-668da3e1e5d2
