CustomerID,BranchID,GuestCount,BookingDate,ArrivalTime,Notes,GuestName,GuestPhone,DeliveryType,DeliveryAddress,DeliveryFee,Status
0e384275-936f-4d39-bc9f-1e253ddde42a,d88ebae0-92ae-4a02-8f16-53520fda68c5,3,2024-12-23,11:30,,Bùi Anh Thảo,0552972961,DINE_IN,,0,CANCELLED
396a12d1-5099-413a-a8a1-c7de636fcb89,49ac5aa6-a561-4a39-9e15-6a338e564442,1,2024-12-13,,,Đặng Thị Hoàng,0774581245,DELIVERY,,51558.19370316592,CONFIRMED
dd2d8b59-bfd4-421c-82ff-89ebf4c37f4b,a2a953af-cb62-49b9-949d-7acfb7c6c2d7,6,2024-12-11,15:30,Birthday celebration,Phan Thanh Minh,0887041207,DINE_IN,,0,CONFIRMED
e1a599b9-6e5e-4db8-ad02-120c2c3ec0f0,a076d40c-e9c1-4594-8b37-df5bf86fb9bf,4,2024-12-27,11:15,,Huỳnh Đức Anh,0517193505,TAKEAWAY,,0,CONFIRMED
6ac262c4-2e9a-4a4c-a295-eacfad912237,61fb3dc9-2d1f-4cfd-88d1-33b2d8bea52b,4,2024-12-10,12:00,Need high chair for baby,Đặng Minh Đức,0984583282,DINE_IN,,0,CANCELLED
9731ae7b-220c-4c86-ad5c-d3dde2d6d356,0328ca89-b42e-4299-8179-3d059e7f1b08,3,2024-12-14,10:15,,Hoàng Văn Đức,0919005972,TAKEAWAY,,0,CONFIRMED
8797770a-8aa0-4e16-9c77-4a520dfe9d77,ac981288-85ac-4422-b5c5-38473c08742b,7,2025-01-08,17:30,Need high chair for baby,Đặng Thị Nam,0392029834,DINE_IN,,0,CONFIRMED
c21fec8c-a61c-4dc5-8655-643ad28a64f1,d185faa9-1015-479a-9270-87d8e7e00081,5,2024-12-05,15:45,Birthday celebration,Võ Thanh Hùng,0392659716,DINE_IN,,0,CONFIRMED
1133846c-5bfa-4869-87b2-206003ce319e,bca7902d-2afe-40a0-82f0-700c6abfffc6,3,2025-01-06,20:00,Need high chair for baby,Huỳnh Minh Hùng,0721796318,DINE_IN,,0,PENDING
149a0c72-9f86-43d0-ae18-1f193d94d620,d43f3d9f-017e-4ac2-9f0b-ca3e2be42201,6,2024-12-15,18:15,Birthday celebration,Trần Quang Thảo,0836660347,DINE_IN,,0,CONFIRMED
1b9b7ab8-5c33-440f-a73c-ecc9a0ea6e2c,ce192013-24e2-44f1-8bef-9061aa4547bd,4,2025-01-03,,Leave at door,Huỳnh Hồng Anh,0514479336,DELIVERY,,38098.13101595998,CONFIRMED
bff88409-63ca-4041-af98-caf8de366daf,6975986e-d1d5-4c4b-8ac4-54073639d1e3,2,2025-01-03,16:15,,Bùi Đức Hương,0500459643,DINE_IN,,0,CONFIRMED
a4ffa36f-c33b-4f67-8025-2df7461e187a,6450d033-aa79-4261-bc75-b51b1deab412,3,2024-12-09,13:45,Birthday celebration,Đặng Hữu Hoàng,0725861650,DINE_IN,,0,CANCELLED
cbc0c0f9-3226-4183-b25e-e44c457a4106,109682ce-bfc8-4859-87bf-eed185fba7fb,4,2024-12-10,,,Vũ Hữu Tú,0828536191,DELIVERY,,43346.001715836246,CONFIRMED
