StaffID,DepartmentID,BranchID,FullName,Gender,BirthDate,StartDate,EndDate,Salary,Address,PhoneNumber,UserID
f91e3ef9-0cfe-4cad-9eda-4803b05878e6,DEPT_MGR,,Huỳnh Hữu Phương,Nữ,1978-08-19,2003-12-26,,20109982,"413 Lê Lợi, Q3, Đà Nẵng",0964874488,aaff90a3-9937-4e36-b824-8aa7558a06c1
f9a4d521-200c-40c4-8290-9ed869f5928d,DEPT_MGR,,Hoàng Anh Đức,Nam,1985-06-08,2008-11-14,,20879947,"259 Trần Hưng Đạo, Q3, Hà Nội",0755004125,fe607346-8c57-457f-97ed-0af4f1ec60a2
cfd58538-d292-4eaa-bb2c-a47fa1bec107,DEPT_MGR,,Đặng Tuấn Anh,Nữ,1987-03-02,2013-02-11,,22831347,"434 Trần Hưng Đạo, Q1, Đà Nẵng",0832536330,99688f75-0f22-4a9f-899b-4908d94a9a05
f07829f0-293f-4803-8350-b402051523be,DEPT_MGR,,Đặng Văn Đức,Nam,1988-01-19,2013-04-26,,24619379,"490 Nguyễn Huệ, Q2, Hà Nội",0923284183,442f232a-9c6c-4181-a6f9-dae61869e78e
7c1a10fc-4713-4a08-b684-9d8438a24408,DEPT_MGR,,Trần Minh Phương,Nam,1987-10-25,2013-11-28,,17196548,"771 Trần Hưng Đạo, Q1, Đà Nẵng",0870153402,9c90a88a-e277-4cca-9d74-795e63e531b2
379cf13c-b39d-4c43-84bd-e31a39d0e7c7,DEPT_MGR,,Huỳnh Hữu Hương,Nam,1976-12-25,2006-05-30,,18662458,"464 Trần Hưng Đạo, Q2, TP.HCM",0887947752,6c249bc2-079c-4cd7-9204-64df3a88638d
50a11bca-b4a8-4c67-ab7a-f791482c6ce3,DEPT_MGR,,Võ Minh Hoa,Nam,1983-11-24,2009-12-24,,17510778,"412 Nguyễn Huệ, Q3, TP.HCM",0886132795,7fb7a5f3-2818-4107-8ce5-e57995a57fd7
d2876917-10d1-4b53-af1c-b5da20e60226,DEPT_MGR,,Phan Thị Anh,Nam,1977-10-17,2003-06-09,,24378960,"858 Nguyễn Huệ, Q1, Hà Nội",0781599845,d2c551b5-0785-44ef-8320-d812a6453a06
58c3397a-37e3-44b6-a575-35e407a470d7,DEPT_MGR,,Nguyễn Minh Minh,Nữ,1977-04-22,2004-11-08,,19771118,"382 Lê Lợi, Q1, Đà Nẵng",0852207570,75f3a2d2-0697-49f6-b812-d1a3086cfd43
ecd65783-f8a2-464e-afc7-171c1b348934,DEPT_MGR,,Huỳnh Thị Minh,Nam,1988-11-28,2014-03-09,,21644207,"32 Trần Hưng Đạo, Q1, Đà Nẵng",0958501928,f426c829-5c2a-4f4c-a547-136c6ccb432b
6f3147ec-3aca-4301-8e7d-eeea4c0a78b4,DEPT_MGR,,Võ Hoàng Anh,Nữ,1986-07-17,2011-05-06,,17526428,"83 Lê Lợi, Q3, Đà Nẵng",0780286715,9609c124-50c6-4d9b-b20f-2ddd9adb8143
b04db04f-cf7e-4273-afc9-e408f20d13e5,DEPT_MGR,,Nguyễn Anh Hoa,Nam,1986-03-24,2010-06-16,,18888689,"820 Lê Lợi, Q1, TP.HCM",0739028682,8a85d21b-b267-4751-bee0-7653209a1d53
39790727-aa1f-4d6e-9709-d1cd7f0a5f41,DEPT_MGR,,Phan Thị Hoa,Nam,1980-03-01,2004-10-23,,17766396,"768 Lê Lợi, Q3, Đà Nẵng",0853793554,1a1639a7-0bc7-4333-bac8-a4bcc6d6b629
5b67bba8-edf0-4a61-973f-a263d1d734e5,DEPT_MGR,,Hoàng Anh Hoa,Nữ,1979-11-07,2006-08-22,,22016172,"56 Nguyễn Huệ, Q2, TP.HCM",0947807736,a50d40f0-6b81-4d50-add5-712455f9875f
5edae387-75a2-40ea-83ac-acf35b59b2ad,DEPT_MGR,,Trần Thị Hoàng,Nữ,1978-09-15,2003-01-23,,16835121,"701 Nguyễn Huệ, Q1, Đà Nẵng",0954310742,c6cd637e-cbb0-4415-aa78-26a587d01e29
5cb56370-80f8-424f-b212-b958c97deac8,DEPT_MGR,,Lê Đức Minh,Nam,1975-07-20,1999-06-11,,15050214,"600 Trần Hưng Đạo, Q1, Đà Nẵng",0716598356,a0800a91-c814-4cd4-bfef-afedaa8919bb
6318c27f-692c-46f7-b6f6-e4ad9606d2ec,DEPT_MGR,,Võ Hữu Anh,Nữ,1989-02-15,2011-08-31,,24977432,"687 Lê Lợi, Q1, TP.HCM",0974767330,8fa5bee5-43c0-4b73-92a9-2ce197b8fa0b
94f15001-1d90-4a3e-9e9c-534088f5c95c,DEPT_MGR,,Nguyễn Minh Nam,Nữ,1984-04-30,2007-04-21,,16293724,"248 Trần Hưng Đạo, Q1, Đà Nẵng",0928922210,25d6aeb4-9eb8-4488-9734-2da099a5c7eb
8592d65a-ac94-45cb-82f5-a3dfbcca6217,DEPT_MGR,,Trần Hồng Phương,Nam,1977-12-01,2007-08-19,,22759432,"293 Lê Lợi, Q3, TP.HCM",0860068132,4db651df-07d3-4c63-877e-396d8850a82a
c4f0bf1a-f2fe-4ec0-9c09-bc14394913ab,DEPT_MGR,,Phan Thị Minh,Nam,1975-09-05,2002-02-25,,22065046,"113 Lê Lợi, Q2, Đà Nẵng",0794427096,d57cc280-d1cf-4f56-a864-40ee585ff99b
deec71bf-331a-421c-b577-094d196ebb47,DEPT_MGR,,Phan Tuấn Hương,Nữ,1987-09-22,2015-04-23,,15038931,"167 Lê Lợi, Q1, Hà Nội",0884708904,cc115d8c-7b3b-4ac2-9beb-f5f2ce1e255f
5eab9788-a95b-4e59-89ad-dbb04361aa5e,DEPT_MGR,,Lê Hồng Anh,Nữ,1989-12-28,2015-10-27,,15305499,"594 Trần Hưng Đạo, Q3, TP.HCM",0987175095,166becf6-f69c-4ea3-b86f-7f57b678225a
950599f3-93e6-471b-aa87-e8ba9a690135,DEPT_MGR,,Võ Minh Minh,Nam,1976-04-06,1997-11-22,,24337305,"52 Trần Hưng Đạo, Q1, Đà Nẵng",0825075286,56f700b0-115a-4b0f-be9b-cbe725ee7b71
b2c10593-5bc1-4049-bbe7-a4da8064dcbc,DEPT_MGR,,Trần Minh Thảo,Nam,1978-09-17,2004-01-10,,17655892,"692 Nguyễn Huệ, Q2, Đà Nẵng",0730473577,9761cc34-cf18-4bd3-bc32-90bdbfc7e7f5
854dbe2d-e4fe-472c-8b0b-be9d261837c6,DEPT_MGR,,Huỳnh Hữu Hoàng,Nam,1982-12-11,2010-08-04,,19769418,"253 Lê Lợi, Q1, Đà Nẵng",0933264118,6b4be644-01e4-4fd1-bcfd-ef5aee6f90c0
